104,Antartica,35.26,13.09,24.87,29.86,34.56,37.41
105,Antartica,31.62,15.9,24.25,27.71,27.99,26.82
106,Antartica,50.41,11.67,32.25,42.57,35.5,91.85
107,Antartica,50.25,22.97,37.46,42.17,46.22,23.45
108,Antartica,36.21,8.73,23.33,28.18,29.24,37.83
109,Antartica,65.93,32.35,50.19,61.55,77.01,19.43
110,Antartica,83.98,66.43,75.75,77.08,61.17,91.34
111,Antartica,44.68,16.11,31.29,39.74,36.08,54.7
112,Antartica,53.88,17.9,37.01,47.71,46.74,59.48
113,Antartica,34.58,5.16,20.79,39.39,26.65,29.4
114,Antartica,42.09,16.6,30.14,34.78,41.33,78.36
115,Antartica,73.22,20.02,48.28,91.95,42.1,76.85
116,Antartica,53.88,21.25,38.58,45.69,53.96,70.04
117,Antartica,31.29,8.23,20.48,37.67,17.27,19.27
118,Antartica,51.78,9.71,32.06,45.92,79.61,13.44
119,Antartica,71.74,25.86,50.23,65.78,72.61,98.14
120,Europe,123.35,53.54,90.62,128.13,122.09,118.44
121,Europe,28.75,5.17,17.7,29.34,22.81,6.59
122,Europe,62.35,17.69,41.42,76.19,29.42,58.35
123,Europe,32.81,12.36,23.23,30.04,24.86,15.97
124,Europe,43.21,14.69,29.84,45.15,22.59,31.56
125,Europe,54.88,15.97,36.64,53.96,53.74,38.47
126,Europe,27.87,5.32,17.3,27.36,15.96,27.83
127,Europe,28.31,6.63,18.15,22.64,18.4,32.88
128,Europe,33.5,9.19,22.1,31,24.85,11.41
129,Europe,30.71,10.57,21.27,26.3,25.75,37.22
130,Europe,58.33,43.28,51.28,46.67,61.53,92.17
131,Europe,69.65,31.84,51.93,56.58,76.79,88.78
132,Europe,70.13,42.07,56.98,70.37,70.07,106.34
133,Europe,52.07,13.93,34.19,44.01,49.39,30.07
134,Europe,27.31,9.29,18.86,26.83,24.22,22.37
135,Europe,43.2,9.99,27.63,37.34,46.23,15.41
136,Europe,37.48,13.22,26.11,38.7,19.98,29.38
137,Europe,53.14,6.71,31.38,67.12,24.74,14.41
138,Europe,33.04,9.26,21.9,31.53,22.46,40.33
139,Asia,45.68,8.75,28.37,39.88,38.13,19.07
